ID,IsVIP,CountryCode,TotalUnits,TotalFee,Industry,Tenure,UsersCount,Churn,ChurnPerc,TicketsCount,TicketsPriorityMean,TicketsClosedCount,SLATimeUsedTotal,SLATimeUsedMean,SLAPercentageTotal,SLAPercentageMean,NonCompliantSLACount,RMACount,RMAUnitsCount,MDVRCount,FatigueMonitorCount,FuelSensorCount,PowerOnEventsCount,PricingCancelCount,ClosedBussCancelCount,NoPaymentCancelCount,SoldVehicleCancelCount,NoUsedVehicleCancelCount,MultHWCasesCancelCount,NoUsedCancelCount
56972,0,CO,1,29.99,Transportation & Logistics,43,0,1,100.00,2,3.00,2,0,0.00,0,0.00,2,0,0,0,0,0,45,0,0,0,0,0,1,0
56978,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,0,0,0.00,0,0.00,1,0,0,0,0,0,2763,0,0,0,0,0,0,1
56979,0,CO,1,29.99,Transportation & Logistics,43,1,0,3.60,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,22,0,0,0,0,0,0,0
56982,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,18,0,0,1,0,0,0,0
56985,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,41,0,0,1,0,0,0,0
56986,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,21,0,0,1,0,0,0,0
56987,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,37,0,0,1,0,0,0,0
56988,0,CO,4,119.96,Transportation & Logistics,43,1,1,100.00,2,3.00,2,0,0.00,0,0.00,2,0,0,0,0,0,644,0,0,0,0,0,1,0
56989,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,69,0,0,1,0,0,0,0
56990,0,CO,1,29.99,Transportation & Logistics,43,0,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,46,0,0,1,0,0,0,0
